"idRegistro";"dataHora";"valor";"fkMaquina";"fkComponente"
1;"2023-09-12 15:20:57";14.9;2000;3
2;"2023-09-12 15:20:58";9.3;2000;3
3;"2023-09-12 15:20:59";-0.1;2000;3
4;"2023-09-12 15:21:00";13.2;2000;3
5;"2023-09-12 15:21:01";-0.1;2000;3
6;"2023-09-12 15:21:02";3.4;2000;3
7;"2023-09-12 15:21:03";-0.1;2000;3
8;"2023-09-12 15:21:04";1.6;2000;3
9;"2023-09-12 15:21:05";-0.1;2000;3
10;"2023-09-12 15:21:06";4.6;2000;3
11;"2023-09-12 15:21:07";11.7;2000;3
12;"2023-09-12 15:21:08";3.0;2000;3
13;"2023-09-12 15:21:09";3.0;2000;3
14;"2023-09-12 15:21:10";1.1;2000;3
15;"2023-09-12 15:21:11";1.6;2000;3
16;"2023-09-12 15:21:12";4.2;2000;3
17;"2023-09-12 15:21:13";1.6;2000;3
18;"2023-09-12 15:21:14";0.1;2000;3
19;"2023-09-12 15:21:15";3.0;2000;3
20;"2023-09-12 15:21:16";3.5;2000;3
21;"2023-09-12 15:21:17";2.8;2000;3
22;"2023-09-12 15:21:18";3.7;2000;3
23;"2023-09-12 15:21:19";3.2;2000;3
24;"2023-09-12 15:21:20";1.8;2000;3
25;"2023-09-12 15:21:21";3.2;2000;3
26;"2023-09-12 15:21:22";1.1;2000;3
27;"2023-09-12 15:21:23";1.7;2000;3
28;"2023-09-12 15:21:24";2.2;2000;3
29;"2023-09-12 15:21:25";1.9;2000;3
30;"2023-09-12 15:21:26";1.0;2000;3
31;"2023-09-12 15:21:27";3.4;2000;3
32;"2023-09-12 15:21:28";0.5;2000;3
33;"2023-09-12 15:21:29";0.3;2000;3
34;"2023-09-12 15:21:30";2.4;2000;3
35;"2023-09-12 15:21:31";2.2;2000;3
36;"2023-09-12 15:21:32";2.3;2000;3
37;"2023-09-12 15:21:33";4.2;2000;3
38;"2023-09-12 15:21:34";2.2;2000;3
39;"2023-09-12 15:21:35";31.9;2000;3
40;"2023-09-12 15:21:36";3.9;2000;3
41;"2023-09-12 15:21:37";51.3;2000;3
42;"2023-09-12 15:21:38";99.7;2000;3
43;"2023-09-12 15:21:39";99.5;2000;3
44;"2023-09-12 15:21:40";99.0;2000;3
45;"2023-09-12 15:21:41";99.9;2000;3
46;"2023-09-12 15:21:42";99.9;2000;3
47;"2023-09-12 15:21:43";99.7;2000;3
48;"2023-09-12 15:21:44";99.9;2000;3
49;"2023-09-12 15:21:45";85.4;2000;3
50;"2023-09-12 15:21:46";1.3;2000;3
51;"2023-09-12 15:21:47";3.1;2000;3
52;"2023-09-12 15:21:48";2.3;2000;3
53;"2023-09-12 15:21:49";2.6;2000;3
54;"2023-09-12 15:21:50";0.5;2000;3
55;"2023-09-12 15:21:51";6.3;2000;3
56;"2023-09-12 15:21:52";7.9;2000;3
57;"2023-09-12 15:21:53";5.2;2000;3
58;"2023-09-12 15:21:54";4.9;2000;3
59;"2023-09-12 15:21:55";4.2;2000;3
60;"2023-09-12 15:21:56";3.7;2000;3
61;"2023-09-12 15:21:57";2.6;2000;3
62;"2023-09-12 15:21:58";4.3;2000;3
63;"2023-09-12 15:21:59";3.0;2000;3
64;"2023-09-12 15:22:00";4.5;2000;3
65;"2023-09-12 15:22:02";3.4;2000;3
66;"2023-09-12 15:22:03";2.5;2000;3
67;"2023-09-12 15:22:04";4.8;2000;3
68;"2023-09-12 15:22:05";0.6;2000;3
69;"2023-09-12 15:22:06";2.0;2000;3
70;"2023-09-12 15:22:07";3.4;2000;3
71;"2023-09-12 15:22:08";2.6;2000;3
72;"2023-09-12 15:22:09";1.3;2000;3
73;"2023-09-12 15:22:10";3.4;2000;3
74;"2023-09-12 15:22:11";0.6;2000;3
75;"2023-09-12 15:22:12";2.0;2000;3
76;"2023-09-12 15:22:13";1.4;2000;3
77;"2023-09-12 15:22:14";1.1;2000;3
78;"2023-09-12 15:22:15";3.7;2000;3
79;"2023-09-12 15:22:16";3.0;2000;3
80;"2023-09-12 15:22:17";1.5;2000;3
81;"2023-09-12 15:22:18";0.5;2000;3
82;"2023-09-12 15:22:19";2.2;2000;3
83;"2023-09-12 15:22:20";1.1;2000;3
84;"2023-09-12 15:22:21";-0.1;2000;3
85;"2023-09-12 15:22:22";4.2;2000;3
86;"2023-09-12 15:22:23";1.6;2000;3
87;"2023-09-12 15:22:24";1.1;2000;3
88;"2023-09-12 15:22:25";2.4;2000;3
89;"2023-09-12 15:22:26";0.3;2000;3
90;"2023-09-12 15:22:27";1.6;2000;3
91;"2023-09-12 15:22:28";4.2;2000;3
92;"2023-09-12 15:22:29";0.8;2000;3
93;"2023-09-12 15:22:30";1.2;2000;3
94;"2023-09-12 15:22:31";4.4;2000;3
95;"2023-09-12 15:22:32";1.1;2000;3
96;"2023-09-12 15:22:33";1.8;2000;3
97;"2023-09-12 15:22:34";1.8;2000;3
98;"2023-09-12 15:22:35";1.8;2000;3
99;"2023-09-12 15:22:36";0.9;2000;3
100;"2023-09-12 15:22:37";1.8;2000;3
101;"2023-09-12 15:22:38";1.1;2000;3
102;"2023-09-12 15:22:39";-0.1;2000;3
103;"2023-09-12 15:22:40";3.2;2000;3
104;"2023-09-12 15:22:41";1.9;2000;3
105;"2023-09-12 15:22:42";0.9;2000;3
106;"2023-09-12 15:22:43";5.1;2000;3
107;"2023-09-12 15:22:44";1.3;2000;3
108;"2023-09-12 15:22:45";5.2;2000;3
109;"2023-09-12 15:22:46";5.1;2000;3
110;"2023-09-12 15:22:47";4.7;2000;3
111;"2023-09-12 15:22:48";3.4;2000;3
112;"2023-09-12 15:22:49";6.1;2000;3
113;"2023-09-12 15:22:50";4.3;2000;3
114;"2023-09-12 15:22:51";6.1;2000;3
115;"2023-09-12 15:22:52";1.7;2000;3
116;"2023-09-12 15:22:53";3.4;2000;3
117;"2023-09-12 15:22:54";6.1;2000;3
118;"2023-09-12 15:22:55";6.9;2000;3
119;"2023-09-12 15:22:56";3.6;2000;3
120;"2023-09-12 15:22:57";-0.1;2000;3
121;"2023-09-12 15:22:58";4.0;2000;3
122;"2023-09-12 15:22:59";6.5;2000;3
123;"2023-09-12 15:23:00";7.7;2000;3
124;"2023-09-12 15:23:01";5.3;2000;3
125;"2023-09-12 15:23:02";1.9;2000;3
126;"2023-09-12 15:23:03";5.5;2000;3
127;"2023-09-12 15:23:04";1.7;2000;3
128;"2023-09-12 15:23:05";3.9;2000;3
129;"2023-09-12 15:23:06";3.4;2000;3
130;"2023-09-12 15:23:07";4.1;2000;3
131;"2023-09-12 15:23:08";4.4;2000;3
132;"2023-09-12 15:23:09";-0.1;2000;3
133;"2023-09-12 15:23:10";1.7;2000;3
134;"2023-09-12 15:23:11";2.1;2000;3
135;"2023-09-12 15:23:12";1.7;2000;3
136;"2023-09-12 15:23:13";4.6;2000;3
137;"2023-09-12 15:23:14";3.2;2000;3
138;"2023-09-12 15:23:15";-0.1;2000;3
139;"2023-09-12 15:23:16";2.2;2000;3
140;"2023-09-12 15:23:17";-0.1;2000;3
141;"2023-09-12 15:23:18";1.3;2000;3
142;"2023-09-12 15:23:19";-0.1;2000;3
143;"2023-09-12 15:23:20";2.8;2000;3
144;"2023-09-12 15:23:21";2.4;2000;3
145;"2023-09-12 15:23:22";3.6;2000;3
146;"2023-09-12 15:23:23";2.4;2000;3
147;"2023-09-12 15:23:24";1.7;2000;3
148;"2023-09-12 15:23:25";7.6;2000;3
149;"2023-09-12 15:23:26";5.8;2000;3
150;"2023-09-12 15:23:27";5.8;2000;3
151;"2023-09-12 15:23:28";4.2;2000;3
152;"2023-09-12 15:23:29";-0.1;2000;3
153;"2023-09-12 15:23:30";0.7;2000;3
154;"2023-09-12 15:23:31";-0.1;2000;3
155;"2023-09-12 15:23:32";3.2;2000;3
156;"2023-09-12 15:23:33";-0.1;2000;3
157;"2023-09-12 15:23:34";0.5;2000;3
158;"2023-09-12 15:23:35";-0.1;2000;3
159;"2023-09-12 15:23:36";1.1;2000;3
160;"2023-09-12 15:23:37";-0.1;2000;3
161;"2023-09-12 15:23:38";1.3;2000;3
162;"2023-09-12 15:23:39";-0.1;2000;3
163;"2023-09-12 15:23:40";0.9;2000;3
164;"2023-09-12 15:23:41";-0.1;2000;3
165;"2023-09-12 15:23:42";0.7;2000;3
166;"2023-09-12 15:23:43";-0.1;2000;3
167;"2023-09-12 15:23:44";0.9;2000;3
168;"2023-09-12 15:23:45";-0.1;2000;3
169;"2023-09-12 15:23:46";1.3;2000;3
170;"2023-09-12 15:23:47";-0.1;2000;3
171;"2023-09-12 15:23:48";0.7;2000;3
172;"2023-09-12 15:23:49";-0.1;2000;3
173;"2023-09-12 15:23:50";1.1;2000;3
174;"2023-09-12 15:23:51";-0.1;2000;3
175;"2023-09-12 15:23:52";1.3;2000;3
176;"2023-09-12 15:23:53";-0.1;2000;3
177;"2023-09-12 15:23:54";1.4;2000;3
178;"2023-09-12 15:23:55";-0.1;2000;3
179;"2023-09-12 15:23:56";1.1;2000;3
180;"2023-09-12 15:23:57";-0.1;2000;3
181;"2023-09-12 15:23:58";1.1;2000;3
182;"2023-09-12 15:23:59";-0.1;2000;3
183;"2023-09-12 15:24:00";1.5;2000;3
184;"2023-09-12 15:24:01";1.1;2000;3
185;"2023-09-12 15:24:02";1.3;2000;3
186;"2023-09-12 15:24:03";-0.1;2000;3
187;"2023-09-12 15:24:04";1.2;2000;3
188;"2023-09-12 15:24:05";-0.1;2000;3
189;"2023-09-12 15:24:06";1.4;2000;3
190;"2023-09-12 15:24:07";-0.1;2000;3
191;"2023-09-12 15:24:08";0.5;2000;3
192;"2023-09-12 15:24:09";-0.1;2000;3
193;"2023-09-12 15:24:10";0.5;2000;3
194;"2023-09-12 15:24:11";-0.1;2000;3
195;"2023-09-12 15:24:12";1.1;2000;3
196;"2023-09-12 15:24:13";-0.1;2000;3
197;"2023-09-12 15:24:14";1.3;2000;3
198;"2023-09-12 15:24:15";-0.1;2000;3
199;"2023-09-12 15:24:16";2.0;2000;3
200;"2023-09-12 15:24:17";1.3;2000;3
201;"2023-09-12 15:24:18";1.3;2000;3
202;"2023-09-12 15:24:19";-0.1;2000;3
203;"2023-09-12 15:24:20";1.3;2000;3
204;"2023-09-12 15:24:21";1.5;2000;3
205;"2023-09-12 15:24:22";0.7;2000;3
206;"2023-09-12 15:24:23";1.8;2000;3
207;"2023-09-12 15:24:24";0.7;2000;3
208;"2023-09-12 15:24:25";0.9;2000;3
209;"2023-09-12 15:24:26";0.3;2000;3
210;"2023-09-12 15:24:27";1.1;2000;3
211;"2023-09-12 15:24:28";0.9;2000;3
212;"2023-09-12 15:24:30";1.5;2000;3
213;"2023-09-12 15:24:31";1.8;2000;3
214;"2023-09-12 15:24:32";0.1;2000;3
215;"2023-09-12 15:24:33";0.5;2000;3
216;"2023-09-12 15:24:34";5.3;2000;3
217;"2023-09-12 15:24:35";5.7;2000;3
218;"2023-09-12 15:24:36";4.9;2000;3
219;"2023-09-12 15:24:37";14.4;2000;3
220;"2023-09-12 15:24:38";12.4;2000;3
221;"2023-09-12 15:24:39";3.4;2000;3
222;"2023-09-12 15:24:40";2.4;2000;3
223;"2023-09-12 15:24:41";0.7;2000;3
224;"2023-09-12 15:24:42";0.9;2000;3
225;"2023-09-12 15:24:43";1.3;2000;3
226;"2023-09-12 15:24:44";3.4;2000;3
227;"2023-09-12 15:24:45";3.0;2000;3
228;"2023-09-12 15:24:46";5.4;2000;3
229;"2023-09-12 15:24:47";1.3;2000;3
230;"2023-09-12 15:24:48";1.4;2000;3
231;"2023-09-12 15:24:49";3.0;2000;3
232;"2023-09-12 15:24:50";2.6;2000;3
233;"2023-09-12 15:24:51";1.4;2000;3
234;"2023-09-12 15:24:52";30.2;2000;3
235;"2023-09-12 15:24:53";13.5;2000;3
236;"2023-09-12 15:24:54";12.0;2000;3
237;"2023-09-12 15:24:55";3.6;2000;3
238;"2023-09-12 15:24:56";8.6;2000;3
239;"2023-09-12 15:24:57";3.4;2000;3
240;"2023-09-12 15:24:58";4.2;2000;3
241;"2023-09-12 15:24:59";1.3;2000;3
242;"2023-09-12 15:25:00";3.8;2000;3
243;"2023-09-12 15:25:01";5.2;2000;3
244;"2023-09-12 15:25:02";42.6;2000;3
245;"2023-09-12 15:25:03";87.0;2000;3
246;"2023-09-12 15:25:04";53.5;2000;3
247;"2023-09-12 15:25:05";12.4;2000;3
248;"2023-09-12 15:25:06";11.6;2000;3
249;"2023-09-12 15:25:07";1.5;2000;3
250;"2023-09-12 15:25:08";2.8;2000;3
251;"2023-09-12 15:25:09";4.0;2000;3
252;"2023-09-12 15:25:10";4.9;2000;3
253;"2023-09-12 15:25:11";4.8;2000;3
254;"2023-09-12 15:25:12";2.9;2000;3
255;"2023-09-12 15:25:13";4.6;2000;3
256;"2023-09-12 15:25:14";3.2;2000;3
257;"2023-09-12 15:25:15";2.6;2000;3
258;"2023-09-12 15:25:16";1.8;2000;3
259;"2023-09-12 15:25:17";2.0;2000;3
260;"2023-09-12 15:25:18";1.8;2000;3
261;"2023-09-12 15:25:19";2.4;2000;3
262;"2023-09-12 15:25:20";2.4;2000;3
263;"2023-09-12 15:25:21";1.5;2000;3
264;"2023-09-12 15:25:22";1.3;2000;3
265;"2023-09-12 15:25:23";1.1;2000;3
266;"2023-09-12 15:25:24";5.2;2000;3
267;"2023-09-12 15:25:25";1.4;2000;3
268;"2023-09-12 15:25:26";1.5;2000;3
269;"2023-09-12 15:25:27";1.9;2000;3
270;"2023-09-12 15:25:28";1.3;2000;3
271;"2023-09-12 15:25:29";1.6;2000;3
272;"2023-09-12 15:25:30";2.1;2000;3
273;"2023-09-12 15:25:31";6.5;2000;3
274;"2023-09-12 15:25:32";2.6;2000;3
275;"2023-09-12 15:25:33";5.3;2000;3
276;"2023-09-12 15:25:34";0.9;2000;3
277;"2023-09-12 15:25:35";2.4;2000;3
278;"2023-09-12 15:25:36";1.9;2000;3
279;"2023-09-12 15:25:37";1.6;2000;3
280;"2023-09-12 15:25:38";2.2;2000;3
281;"2023-09-12 15:25:39";2.0;2000;3
282;"2023-09-12 15:25:40";2.1;2000;3
283;"2023-09-12 15:25:41";6.9;2000;3
284;"2023-09-12 15:25:42";5.3;2000;3
285;"2023-09-12 15:25:43";3.4;2000;3
286;"2023-09-12 15:25:44";2.4;2000;3
287;"2023-09-12 15:25:45";1.1;2000;3
288;"2023-09-12 15:25:46";1.8;2000;3
289;"2023-09-12 15:25:47";1.1;2000;3
290;"2023-09-12 15:25:48";3.0;2000;3
291;"2023-09-12 15:25:49";2.6;2000;3
292;"2023-09-12 15:25:50";1.8;2000;3
293;"2023-09-12 15:25:51";2.8;2000;3
294;"2023-09-12 15:25:52";1.9;2000;3
295;"2023-09-12 15:25:53";6.8;2000;3
296;"2023-09-12 15:25:54";1.7;2000;3
297;"2023-09-12 15:25:55";3.4;2000;3
298;"2023-09-12 15:25:56";0.7;2000;3
299;"2023-09-12 15:25:57";1.2;2000;3
300;"2023-09-12 15:25:58";2.6;2000;3
301;"2023-09-12 15:25:59";9.0;2000;3
302;"2023-09-12 15:26:00";8.7;2000;3
303;"2023-09-12 15:26:01";5.2;2000;3
304;"2023-09-12 15:26:02";4.8;2000;3
305;"2023-09-12 15:26:03";2.7;2000;3
306;"2023-09-12 15:26:04";4.4;2000;3
307;"2023-09-12 15:26:05";1.6;2000;3
308;"2023-09-12 15:26:06";3.8;2000;3
309;"2023-09-12 15:26:07";2.8;2000;3
310;"2023-09-12 15:26:08";3.0;2000;3
311;"2023-09-12 15:26:09";1.8;2000;3
312;"2023-09-12 15:26:10";1.5;2000;3
313;"2023-09-12 15:26:11";1.5;2000;3
314;"2023-09-12 15:26:12";1.4;2000;3
315;"2023-09-12 15:26:13";1.7;2000;3
316;"2023-09-12 15:26:14";1.3;2000;3
317;"2023-09-12 15:26:15";1.8;2000;3
318;"2023-09-12 15:26:16";1.1;2000;3
319;"2023-09-12 15:26:17";1.6;2000;3
320;"2023-09-12 15:26:18";0.3;2000;3
321;"2023-09-12 15:26:19";2.0;2000;3
322;"2023-09-12 15:26:21";2.1;2000;3
323;"2023-09-12 15:26:22";1.5;2000;3
324;"2023-09-12 15:26:23";1.1;2000;3
325;"2023-09-12 15:26:24";1.6;2000;3
326;"2023-09-12 15:26:25";2.3;2000;3
327;"2023-09-12 15:26:26";2.2;2000;3
328;"2023-09-12 15:26:27";1.5;2000;3
329;"2023-09-12 15:26:28";1.3;2000;3
330;"2023-09-12 15:26:29";1.2;2000;3
331;"2023-09-12 15:26:30";8.6;2000;3
332;"2023-09-12 15:26:31";1.1;2000;3
333;"2023-09-12 15:26:32";1.2;2000;3
334;"2023-09-12 15:26:33";1.3;2000;3
335;"2023-09-12 15:26:34";1.6;2000;3
336;"2023-09-12 15:26:35";1.2;2000;3
337;"2023-09-12 15:26:36";1.3;2000;3
338;"2023-09-12 15:26:37";1.1;2000;3
339;"2023-09-12 15:26:38";1.3;2000;3
340;"2023-09-12 15:26:39";1.4;2000;3
341;"2023-09-12 15:26:40";1.1;2000;3
342;"2023-09-12 15:26:41";1.3;2000;3
343;"2023-09-12 15:26:42";1.1;2000;3
344;"2023-09-12 15:26:43";1.7;2000;3
345;"2023-09-12 15:26:44";0.7;2000;3
346;"2023-09-12 15:26:45";1.7;2000;3
347;"2023-09-12 15:26:46";1.3;2000;3
348;"2023-09-12 15:26:47";1.4;2000;3
349;"2023-09-12 15:26:48";1.3;2000;3
350;"2023-09-12 15:26:49";1.9;2000;3
351;"2023-09-12 15:26:50";0.1;2000;3
352;"2023-09-12 15:26:51";3.0;2000;3
353;"2023-09-12 15:26:52";1.1;2000;3
354;"2023-09-12 15:26:53";4.0;2000;3
355;"2023-09-12 15:26:54";6.3;2000;3
356;"2023-09-12 15:26:55";5.0;2000;3
357;"2023-09-12 15:26:56";2.8;2000;3
358;"2023-09-12 15:26:57";4.1;2000;3
359;"2023-09-12 15:26:58";1.3;2000;3
360;"2023-09-12 15:26:59";9.4;2000;3
361;"2023-09-12 15:27:00";3.8;2000;3
362;"2023-09-12 15:27:01";6.7;2000;3
363;"2023-09-12 15:27:02";3.9;2000;3
364;"2023-09-12 15:27:03";3.8;2000;3
365;"2023-09-12 15:27:04";6.3;2000;3
366;"2023-09-12 15:27:05";1.5;2000;3
367;"2023-09-12 15:27:06";2.4;2000;3
368;"2023-09-12 15:27:07";2.2;2000;3
369;"2023-09-12 15:27:08";1.8;2000;3
370;"2023-09-12 15:27:25";-0.1;2000;3
371;"2023-09-12 15:27:26";2.4;2000;3
372;"2023-09-12 15:27:27";6.1;2000;3
373;"2023-09-12 15:27:28";3.2;2000;3
374;"2023-09-12 15:27:29";-0.1;2000;3
375;"2023-09-12 15:27:30";1.9;2000;3
376;"2023-09-12 15:27:31";-0.1;2000;3
377;"2023-09-12 15:27:32";4.4;2000;3
378;"2023-09-12 15:27:33";-0.1;2000;3
379;"2023-09-12 15:27:34";3.2;2000;3
380;"2023-09-12 15:27:35";-0.1;2000;3
381;"2023-09-12 15:27:36";4.6;2000;3
382;"2023-09-12 15:27:37";33.2;2000;3
383;"2023-09-12 15:27:38";19.5;2000;3
384;"2023-09-12 15:27:39";-0.1;2000;3
385;"2023-09-12 15:27:40";3.2;2000;3
386;"2023-09-12 15:27:41";5.7;2000;3
387;"2023-09-12 15:27:42";6.5;2000;3
388;"2023-09-12 15:27:43";2.0;2000;3
389;"2023-09-12 15:27:44";2.6;2000;3
390;"2023-09-12 15:27:45";10.4;2000;3
391;"2023-09-12 15:27:46";6.4;2000;3
392;"2023-09-12 15:27:47";3.6;2000;3
393;"2023-09-12 15:27:48";6.8;2000;3
394;"2023-09-12 15:27:49";4.8;2000;3
395;"2023-09-12 15:27:50";8.3;2000;3
396;"2023-09-12 15:27:51";9.8;2000;3
397;"2023-09-12 15:27:52";2.0;2000;3
398;"2023-09-12 15:27:53";1.6;2000;3
399;"2023-09-12 15:27:54";5.4;2000;3
400;"2023-09-12 15:27:55";2.0;2000;3
401;"2023-09-12 15:27:56";2.1;2000;3
402;"2023-09-12 15:27:57";3.2;2000;3
403;"2023-09-12 15:27:58";3.7;2000;3
404;"2023-09-12 15:27:59";1.7;2000;3
405;"2023-09-12 15:28:00";5.9;2000;3
406;"2023-09-12 15:28:01";1.1;2000;3
407;"2023-09-12 15:28:02";3.8;2000;3
408;"2023-09-12 15:28:03";5.1;2000;3
409;"2023-09-12 15:28:04";0.9;2000;3
410;"2023-09-12 15:28:05";0.9;2000;3
411;"2023-09-12 15:28:06";3.0;2000;3
412;"2023-09-12 15:28:07";25.4;2000;3
413;"2023-09-12 15:28:08";2.0;2000;3
414;"2023-09-12 15:28:09";2.6;2000;3
415;"2023-09-12 15:28:10";2.1;2000;3
416;"2023-09-12 15:28:11";2.2;2000;3
417;"2023-09-12 15:28:12";2.9;2000;3
418;"2023-09-12 15:28:13";2.0;2000;3
419;"2023-09-12 15:28:14";0.9;2000;3
420;"2023-09-12 15:28:15";3.6;2000;3
421;"2023-09-12 15:28:16";0.6;2000;3
422;"2023-09-12 15:28:17";1.3;2000;3
423;"2023-09-12 15:28:18";2.9;2000;3
424;"2023-09-12 15:28:19";0.7;2000;3
425;"2023-09-12 15:28:20";0.2;2000;3
426;"2023-09-12 15:28:21";4.3;2000;3
427;"2023-09-12 15:28:22";3.8;2000;3
428;"2023-09-12 15:28:23";1.9;2000;3
429;"2023-09-12 15:28:24";4.6;2000;3
430;"2023-09-12 15:28:25";2.4;2000;3
431;"2023-09-12 15:28:27";10.7;2000;3
432;"2023-09-12 15:28:28";4.1;2000;3
